Started Log File:     logs/MMTK 2021-02-17 00-17-14-COM3.txt
Data Source:     COM3

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	0.11	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	0.10	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	0.09	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	0.08	0	1	1	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	0.09	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	0.10	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	64.40	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	59.40	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	56.20	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	44.80	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	37.80	0	1	1	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	48.00	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	47.40	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	30.20	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	5.00	0	1	1	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	22.80	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	-36.20	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-12.20	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	387.60	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	2315.40	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	5089.60	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	7063.40	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	8085.80	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	8678.80	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	41.49	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	41.57	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	41.60	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	40.63	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	39.93	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	39.85	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	38.75	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	32.51	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	14.45	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	1.74	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	0.37	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	0.32	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	0.32	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	0.32	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	0.32	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	0.31	0	1	1	0	0	12.11	1	1	1	1	1	
